rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
15,Mexico,MEX,1681.03,1675.75,1.0,CONCACAF,2026-04-01
16,Mexico,MEX,1675.75,1675.75,-1.0,CONCACAF,2026-01-19
15,Mexico,MEX,1675.75,1675.75,0.0,CONCACAF,2025-12-22
15,Mexico,MEX,1675.75,1682.52,-1.0,CONCACAF,2025-11-19
14,Mexico,MEX,1682.52,1688.38,0.0,CONCACAF,2025-10-17
14,Mexico,MEX,1688.38,1689.73,-1.0,CONCACAF,2025-09-18
13,Mexico,MEX,1689.73,1646.94,4.0,CONCACAF,2025-07-10
17,Mexico,MEX,1646.94,1627.4,2.0,CONCACAF,2025-04-03
19,Mexico,MEX,1627.4,1627.4,0.0,CONCACAF,2024-12-19
19,Mexico,MEX,1627.4,1640.67,-3.0,CONCACAF,2024-11-28
16,Mexico,MEX,1640.67,1635.66,1.0,CONCACAF,2024-10-24
17,Mexico,MEX,1635.66,1635.11,0.0,CONCACAF,2024-09-19
17,Mexico,MEX,1635.11,1652.33,-2.0,CONCACAF,2024-07-18
15,Mexico,MEX,1652.33,1661.11,-1.0,CONCACAF,2024-06-20
14,Mexico,MEX,1661.11,1652.7,1.0,CONCACAF,2024-04-04
15,Mexico,MEX,1652.7,1652.7,0.0,CONCACAF,2024-02-15
15,Mexico,MEX,1652.7,1655.21,-1.0,CONCACAF,2023-12-21
14,Mexico,MEX,1655.21,1663.94,-2.0,CONCACAF,2023-11-30
12,Mexico,MEX,1663.94,1661.46,0.0,CONCACAF,2023-10-26
12,Mexico,MEX,1661.46,1665.59,0.0,CONCACAF,2023-09-21
12,Mexico,MEX,1665.59,1639.19,2.0,CONCACAF,2023-07-20
14,Mexico,MEX,1639.19,1631.87,1.0,CONCACAF,2023-06-29
15,Mexico,MEX,1631.87,1635.78,0.0,CONCACAF,2023-04-06
15,Mexico,MEX,1635.78,1644.89,-2.0,CONCACAF,2022-12-22
13,Mexico,MEX,1644.89,1649.57,-1.0,CONCACAF,2022-10-06
12,Mexico,MEX,1649.57,1649.57,0.0,CONCACAF,2022-08-25
12,Mexico,MEX,1649.57,1658.82,-3.0,CONCACAF,2022-06-23
9,Mexico,MEX,1658.82,1647.9,3.0,CONCACAF,2022-03-31
12,Mexico,MEX,1647.9,1638.3,2.0,CONCACAF,2022-02-10
14,Mexico,MEX,1638.3,1638.76,0.0,CONCACAF,2021-12-23
14,Mexico,MEX,1638.76,1672.92,-5.0,CONCACAF,2021-11-19
9,Mexico,MEX,1672.92,1666.19,0.0,CONCACAF,2021-10-21
9,Mexico,MEX,1666.19,1658.29,0.0,CONCACAF,2021-09-16
9,Mexico,MEX,1658.29,1629.56,2.0,CONCACAF,2021-08-12
11,Mexico,MEX,1629.56,1629.56,0.0,CONCACAF,2021-05-27
11,Mexico,MEX,1629.56,1632.0,-2.0,CONCACAF,2021-04-07
9,Mexico,MEX,1632.0,1632.0,0.0,CONCACAF,2021-02-18
9,Mexico,MEX,1632.0,1632.0,0.0,CONCACAF,2020-12-10
9,Mexico,MEX,1632.0,1625.0,2.0,CONCACAF,2020-11-27
11,Mexico,MEX,1625.0,1621.0,0.0,CONCACAF,2020-10-22
11,Mexico,MEX,1621.0,1621.0,0.0,CONCACAF,2020-09-17
11,Mexico,MEX,1621.0,1621.0,0.0,CONCACAF,2020-07-16
11,Mexico,MEX,1621.0,1621.0,0.0,CONCACAF,2020-06-11
11,Mexico,MEX,1621.0,1621.0,0.0,CONCACAF,2020-04-09
11,Mexico,MEX,1621.0,1621.0,0.0,CONCACAF,2020-02-20
11,Mexico,MEX,1621.0,1621.0,0.0,CONCACAF,2019-12-19
11,Mexico,MEX,1621.0,1613.0,0.0,CONCACAF,2019-11-27
11,Mexico,MEX,1613.0,1603.0,1.0,CONCACAF,2019-10-24
12,Mexico,MEX,1603.0,1604.0,0.0,CONCACAF,2019-10-13
12,Mexico,MEX,1604.0,1557.0,6.0,CONCACAF,2019-07-25
18,Mexico,MEX,1557.0,1549.0,0.0,CONCACAF,2019-06-14
18,Mexico,MEX,1549.0,1540.0,-1.0,CONCACAF,2019-04-04
17,Mexico,MEX,1540.0,1540.0,0.0,CONCACAF,2019-02-07
17,Mexico,MEX,1540.0,1540.0,0.0,CONCACAF,2018-12-20
17,Mexico,MEX,1540.0,1549.0,-1.0,CONCACAF,2018-11-29
16,Mexico,MEX,1549.0,1550.0,-1.0,CONCACAF,2018-10-25
15,Mexico,MEX,1550.0,1560.0,1.0,CONCACAF,2018-09-20
16,Mexico,MEX,1560.0,1548.0,-1.0,CONCACAF,2018-08-16
10,Mexico,MEX,2041.0,1996.0,5.0,CONCACAF,2018-07-01
15,Mexico,MEX,989.0,1008.0,0.0,CONCACAF,2018-06-07
15,Mexico,MEX,1008.0,1008.0,0.0,CONCACAF,2018-05-17
15,Mexico,MEX,1008.0,1038.0,2.0,CONCACAF,2018-04-12
17,Mexico,MEX,1038.0,1034.0,0.0,CONCACAF,2018-03-15
